stars,comment
5.0 out of 5 stars,"







  
  
    I highly recommend these boards books for children above 1 year. My kid is so happy flipping the pages and identifying animals, fruits etc. It is very convenient for my kid to hold it as it is of small size and he thoroughly enjoys it. I was so impressed by these books that I gifted these books to my nephew as well.
  
"
5.0 out of 5 stars,"







  
  
    I am glad that i bought this set. My baby have learned a lot from this. The size is perfect for babies though it may look small at first glance. Trust me i have tried a bigger book and it was too big so got torn within a week. My baby will read this book as soon as she got up and before going to bed everyday. Totally worth it.
  
"
5.0 out of 5 stars,"







  
  
    This is my 3rd purchase and slowly has been my default gift for kids. First birthday along with some toys. They love them and the colours are bright and the book is hard cardboard material so kids can’t tear it (for the little active kids too)
  
"
3.0 out of 5 stars,"







  
  
    Thats the picture of book colors. Now how do you expect me to teach color by this? It should have had only plain color blue. Butterfly sapphire was not required. Same goes with numbers Book is 10cm in length. It's board book..
  
"
1.0 out of 5 stars,"







  
  
    It's not books. This are pocket books.Wrong way to sell item by naming BOOKS but actually item's are SMALL POCKET BOOKS.Basically fraud selling of small pocket books on description of Colour printed learning books, actual prices are Rs.100-150.
  
"
5.0 out of 5 stars,"







  
  
    A great product to familiarise your toddler with some common names. He can see things and relate. My son enjoys it the most. Dont go by long names. Even if he learns one name from each book & identifies it, its enough. He carries atleast one book everywhere he goes. My son will turn 2 in may.
  
"
5.0 out of 5 stars,"







  
  
    Nice product for small babies. You should buy this when your baby is just 1 yr old and he will start liking it and can enjoy it upto 3 yrs or more also. It has animals, fruits, numbers, transportation etc books. Your kid will get familiar with all these things. And most important , develop a love of reading, touching and enjoying books. The product is small, curved corners so that your baby will play and don't get harmed. A must buy😍😍
  
"
4.0 out of 5 stars,"







  
  
    Awesome product. My daughter luved a lot but I feel size of the book is bit small and the thickness should be more coz our book's easily got Torn. And im unhappy that one of my book condition was not good so bad but I didn't return.
  
"
5.0 out of 5 stars,"







  
  
    Very tiny books.. Not satisfied with the size of the book. Given limite page. Easy to carry.. Less weight. My baby didt get attract much on this book while comparing to other picture books. Need better pictures.. Feels like repeated pictures
  
"
4.0 out of 5 stars,"







  
  
    Books are smaller in size than I thought. Buy my kid loves the transport and animal books. The alphabet book has some weird choices like B for Bear instead of Ball and a few others, so it doesn't work well with most rhymes videos online
  
"
